First Name,Last Name,Affiliation,Country
Elena,Andreeva,TU Wien,Austria
Xiaofeng,Chen,Xidian University,China
Yu,Chen,Shandong University,China
Huanhuan,Chen,University of Waterloo,Canada
Jie,Chen,East China Normal University,China
Hui,Cui,Monash University,Australia
Nada,El Kassem,University of Surrey,United Kingdom
Keita,Emura,Kanazawa University,Japan
Shihui,Fu,Shandong University,China
Junqing,Gong,East China Normal University,China
Jinguang,Han,Southeast University,China
Shuai,Han,Shanghai Jiao Tong University,China
Junaid,Haseeb,University of Waikato,Australia
Shoichi,Hirose,University of Fukui,Japan
Qiong,Huang,Guangdong University of Finance,China
Hyunjae,Kang,The University of Queensland,Australia
Sabyasachi,Karati,Indian Statistical Institute,India
Vimal,Kumar,University of Waikato,Australia
Fagen,Li,University of Electronic Science and Technology of China,China
Yang,Li,The University of Electro-Communications,Japan
Yannan,Li,University of Wollongong,Australia
Kaitai,Liang,Delft University of Technology and University of Turku,Netherlands and Finland
Dongxi,Liu,CSIRO,Australia
Joseph,Liu,Monash University,Australia
Xiaoning,Liu,RMIT University,Australia
Zhen,Liu,Shanghai Jiao Tong University,China
Xingye,Lu,The Hong Kong Polytechnic University,Hong Kong SAR
Xianhui,Lu,Institute of Information Engineering, Chinese Academy of Sciences,China
You,Lyu,Shanghai Jiao Tong University,China
Weizhi,Meng,Lancaster University,United Kingdom
Kirill,Morozov,University of North Texas,United States
Marzio,Mula,University of the Bundeswehr,Germany
Khoa,Nguyen,University of Wollongong,Australia
Kouichi,Sakurai,Kyushu University,Japan
Willy,Susilo,University of Wollongong,Australia
Yangguang,Tian,University of Surrey,United Kingdom
Yuntao,Wang,The University of Electro-Communications,Japan
Mingli,Wu,The University of Hong Kong,Hong Kong SAR
Haiyang,Xue,Singapore Management University,Singapore
Rupeng,Yang,University of Wollongong,Australia
Guomin,Yang,Singapore Management University,Singapore
Kuo-Hui,Yeh,National Yang Ming Chiao Tung University,Taiwan
Zuoxia,Yu,The Hong Kong Polytechnic University,Hong Kong SAR
Lei,Zhang,East China Normal University,China
Leo Yu,Zhang,Griffith University,Australia
Mingwu,Zhang,Hubei University of Technology,China
Yuncong,Zhang,Shandong University,China
